Product,APE Based,Cloud Point (°C),HLB,Moles EO,CMC (ppm)/Surface Tension (dynes/cm),Foam Height (mm),Pour Point (°C),Form,Features,Applications
TERGITOL™ NP-15,Yes,>100,15,15,90/41,128/95,25,S,"Excellent detergency, outstanding wetting, suitable for higher temperatures","Cleaners and detergents, paper and textile processing, paints and coatings, agrochemicals, MWF"
TERGITOL™ NP-30,Yes,>100,17.1,30,157/46,125/77,37,S,"Highly water soluble emulsifier and stabilizer, effective at high temperatures","Wetting agents and stabilizers, emulsifiers and dispersants, agrochemicals"
TERGITOL™ NP-30 (70%),Yes,>100,17.1,30,160/42,125/77,-8,L,"Highly water soluble emulsifier and stabilizer, effective at high temperatures","Wetting agents and stabilizers, emulsifiers and dispersants, agrochemicals"
TERGITOL™ NP-40,Yes,>100,17.8,40,230/50,123/115,48,S,"Effective at high temperatures, highly water-soluble emulsifier and stabilizer, wetting","Paper and textile processing, paints and coatings, agrochemicals"
TERGITOL™ NP-40 (70%),Yes,>100,17.8,40,232/50,123/115,2,L,"Effective at high temperatures, highly water-soluble emulsifier and stabilizer","Paper and textile processing, paints and coatings, agrochemicals"
TERGITOL™ NP-50 (70%),Yes,>100,18.2,50,256/53,115/110,2,S/L,"Effective at high temperatures, highly water-soluble emulsifier and stabilizer","Paper and textile processing, paints and coatings, agrochemicals"
TERGITOL™ NP-55 (70%),Yes,>100,18.3,55,39/45,105/60,15,S/L,"Effective at high temperatures, highly water-soluble emulsifier and stabilizer","Paper and textile processing, paints and coatings, agrochemicals"
TERGITOL™ NP-70 (70%),Yes,>100,18.7,70,287/51,105/100,15,S,"Effective at high temperatures, highly water-soluble emulsifier and stabilizer","Paper and textile processing, paints and coatings, agrochemicals"
TRITON™ RW-20,No,Ins,8-Jun,2,Ins,Ins,<-6,L,"Oil soluble emulsifier, pH reversible","Degreasers, MWF"
TRITON™ RW-50,No,Disp,14-Dec,5,260/29 pH=12 -/51 pH=2,28/2 pH=12,<-6,L,"Low HLB emulsifier, pH reversible","Metal cleaners, industrial laundry, transportation cleaners, MWF"
TRITON™ RW-150,No,>100,>16,15,860/30 pH=12 -/54 pH=2,135/15 pH=12,11,L,pH reversible properties and emulsification,High temperature systems
TRITON™ X-15,Yes,Ins,4.9,1.5,Ins,Ins,3,L,"Oil soluble emulsifier, solubilizer","Defoamers, dye solubilizer, chemical intermediate"
TRITON™ X-35,Yes,Ins,7.8,3,Ins,Ins,-9,L,Excellent compatibility with aliphatic or aromatic hydrocarbons and polar organic solvents,"Defoamers, pulp/paper, textile, dry cleaning, MWF, chemical intermediate"
TRITON™ X-45,Yes,Disp,9.8,4.5,136/29,23/9,-24,L,"Excellent emulsifier with good wetting, aids in rinseability of solvent-based systems","Defoamers, cleaners, MWF, agrochemicals, paints and coatings, textile, pulp/paper, ollfield"
TRITON™ X-114,Yes,25,12.3,7.5,120/31,55/40,-14,L,Excellent wetting and detergency,"Cleaners, paints and coatings, pulp/paper, textile, agrochemicals, MWF, oilfield"
TRITON™ X-100,Yes,66,13.4,9.5,189/33,128/107,1,L,"Excellent detergent, dispersant, and emulsifier for oil-in-water systems","Household and Industrial cleaners, paints and coatings pulp/paper, textile, agrochemicals, MWF, oilfield"
TRITON™ X-102,Yes,88,14.4,12,267/36,124/75,13,L,Excellent detergent and dispersant,"Dispersions, high temperature systems"
TRITON™ X-165 (50%),Yes,>100,15.5,16,not run/40,115/45,2,L,Excellent emulsion stabilizer and dispersant,"Paints and coatings, dispersions"
TRITON™ X-165 (70%),Yes,>100,15.5,16,570/39,124/68,22,L,Excellent emulsion stabilizer and dispersant,"Paints and coatings, dispersions"
TRITON™ X-305 (70%),Yes,>100,17.3,30,1916/49,103/25,-7,L,"Excellent emulsion stabilizer, provides freeze thaw and ionic stability","Emulsion polymerization, paints and coatings, floor polish, wax emulsions"
TRITON™ X-405 (70%),Yes,>100,17.6,35,2442/52,93/22,-6,L,"Excellent emulsion stabilizer, provides freeze thaw and ionic stability","Emulsion polymerization, paints and coatings, floor polish, and wax emulsions"
TRITON™ X-705 (70%),Yes,>100,18.4,55,3585/44,80/55,2,L,Excellent emulsion stabilizer,Emulsion polymerization
ECOSURF™ SA-4,No,Disp,7.5,PRT,Disp,Disp,-8,L,"Based on seed oil, low odor, no gel range, excellent wetting, oil soluble emulsifier","Concentrates, cleaners and detergents, prewash spotters, dry cleaning, paints and coatings, textile processing"
ECOSURF™ SA-7,No,37,9.7,PRT,17/29,100/20,3,L,"Based on seed oil, low odor, no gel range, rapid dissolution, excellent wetting and detergency, effective emulsifier","Concentrates. cleaners and detergents, prewash spotters, paints and coatings, textile processing, agrochemicals"
ECOSURF™ SA-9,No,57,11.1,PRT,22/29,100/20,4,L,"Based on seed oil, low odor, no gel range, rapid dissolution, excellent wetting and detergency, effective emulsifier","Concentrates, cleaners and detergents, prewash spotters, paints and coatings, textile processing"
ECOSURF™ SA-15,No,>100,13.5,PRT,153/34,130/25,27,S,"Based on seed oil, low odor, rapid dissolution, excellent wetting and detergency especially at higher temperatures, effective emulsifier","Concentrates, cleaners and detergents, prewash spotters, paints and coatings, textile processing, agrochemicals"
TERGITOL™ ECO-20,No,Disp,10,20,56/40,50/25,-30,L,"Excellent emulsifier and dispersant, water dispersable","Agrochemicals, textile and leather processing, household and institutional cleaning"
TERGITOL™ ECO-30 HP,No,>100,-,30,53/41,68/60,0,L,"Excellent emulsifier and dispersant, water soluble. High purity grade, low salts concentration","Agrochemicals, textile and leather processing, household and institutional cleaning"
TERGITOL™ ECO-36,No,80,13,36,44/40,60/50,12,L,Excellent emulsion stabilizer,"Agrochemicals, textile and leather processing, household and institutional cleaning"
TERGITOL™ ECO-40,No,80,13,40,50/40,60/55,15,L,Excellent emulsion stabilizer,"Agrochemicals, textile and leather processing, household and institutional cleaning"
TRITON™ BG-10,No,>100,-,0,1591/28,112/115,-5,L,"Soluble in highly alkaline solutions. good detergency and wetting properties, mild. listed on CleanGredients™ and US EPA Safer Choice Formulations","Bottle washing, metal cleaners, highly alkaline detergents, paint strippers, aluminum brighteners, agrochemicals"
TRITON™ CG-50,No,>100,-,0,870/27,112/112,0,L,"Soluble in highly alkaline solutions, mild, good detergent and wetter. high stable foam, listed on CleanGredients™ for US EPA Safer Choice Formulations","Bottle washing, metal cleaners, highly alkaline detergents, paint strippers, aluminum brighteners, agrochemicals"
TRITON™ CG-110,No,>100,-,0,1748/27,105/100,-15,L,"Soluble in highly alkaline solutions, mild, low skin drying effects, good detergent and wetter, high stable foam. listed on CleanGredients™ and US EPA Safer Choice Formulations","Bottle washing, metal cleaners, highly alkaline detergents, paint strippers, aluminum brighteners, agrochemicals"
TRITON™ CG-425,No,>100,-,0,61/29,140/140,-18,L,"Soluble in highly alkaline solutions, mild, good detergent and wetter. high stable foam","Glass cleaners, highly alkaline detergents"
TRITON™ CG-600,No,>100,-,0,74/29,80/80,6,L,"Soluble in highly alkaline solutions, mild. good detergent and wetter. high stable foam","Glass cleaners, highly alkaline detergents"
TRITON™ CG-650,No,>100,-,0,67/29,110/110,-18,L,"Soluble in highly alkaline solutions, mild. good detergent and wetter, high stable foam","Glass cleaners, highly alkaline detergents"
